id,long,lat,sub_basin,elevation,aap_(mm),riverdist_m,faultdist_m,landuse_type,slop(percent),slop(degrees),geo_unit,des_geouni,climate_type,des_climatetype
11.0,53.167,27.489,Mehran,940.0,128.0,982.95,41682.45,poorrange,39.75,21.68,EOas-ja,"Undivided Asmari and Jahrum Formation , regardless to  the disconformity separates them",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
12.0,53.338,27.466,Mand,516.0,128.0,2470.4,36194.56,poorrange,1.27,0.73,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
13.0,53.678,27.812,Mand,725.0,138.0,3456.88,6292.38,poorrange,22.18,12.51,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
15.0,53.777,27.933,Mand,754.0,138.0,3218.36,5423.69,mix(bareland_x),3.0,1.72,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
16.0,54.335,27.242,Mehran,453.0,155.0,4094.87,6829.37,poorrange,30.05,16.73,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
17.0,56.094,27.733,Shoor,657.0,159.0,1468.07,6801.79,poorrange,8.75,5.0,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
18.0,55.963,27.935,Shoor,1310.0,156.0,3665.1,7947.39,verylowforest,36.55,20.08,OMr,Opemiska mafic rocks,A-C-VW,"Warm and dry, with a dry period longer than the humid period"
19.0,55.963,27.928,Shoor,1123.0,156.0,4307.88,7393.5,poorrange,13.46,7.67,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
20.0,55.251,26.792,Mehran,234.0,150.0,1099.77,1279.9,poorrange,16.41,9.32,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
21.0,55.251,26.791,Mehran,239.0,150.0,995.77,1356.28,poorrange,28.92,16.13,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
22.0,56.283,27.231,Shoor,44.0,155.0,5710.19,2106.7,poorrange,5.38,3.08,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
23.0,56.061,27.374,Shoor,524.0,155.0,5129.29,6432.1,lowforest,56.88,29.63,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
24.0,55.683,27.753,Shoor,409.0,156.0,102.8,6308.81,poorrange,26.27,14.72,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
25.0,55.927,27.624,Shoor,323.0,156.0,969.77,14509.03,poorrange,2.09,1.2,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
26.0,55.182,27.834,Shoor,815.0,163.0,3320.4,1380.36,poorrange,14.28,8.13,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
27.0,56.209,27.455,Shoor,904.0,155.0,225.18,8001.03,woodland1,70.73,35.27,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
28.0,56.207,27.451,Shoor,860.0,155.0,101.44,7733.09,woodland1,23.39,13.16,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
29.0,56.207,27.447,Shoor,936.0,155.0,213.47,7365.17,woodland1,44.9,24.18,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
30.0,57.042,27.567,Rudan,667.0,124.0,2971.12,1478.94,poorrange,26.11,14.64,tm,"Tectonic melange - association of ophiolitic components , pelagic limestone , radiolarian chert and shale with or without Eocene sedimentary rocks (Coloured Melange complex )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
31.0,57.743,26.424,Iran Southern Coast,871.0,118.0,4.35,1002.24,bareland,3.25,1.86,Qft1,High level piedmont fan and valley terrces deposits,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
32.0,57.539,26.761,Iran Southern Coast,537.0,168.0,1371.99,4215.9,poorrange,9.27,5.3,Qft1,High level piedmont fan and valley terrces deposits,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
33.0,56.608,27.766,Shoor,777.0,141.0,101.86,7471.41,poorrange,6.82,3.9,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
34.0,56.476,27.879,Shoor,1163.0,159.0,336.16,1086.67,poorrange,12.26,6.99,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-C-VW,"Warm and dry, with a dry period longer than the humid period"
35.0,56.626,27.771,Shoor,807.0,141.0,703.79,8383.45,poorrange,10.64,6.07,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
36.0,56.565,27.763,Shoor,645.0,141.0,689.92,5301.65,poorrange,9.03,5.16,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
37.0,56.565,27.761,Shoor,695.0,141.0,490.22,5099.6,poorrange,17.8,10.09,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
38.0,56.331,27.863,Shoor,1680.0,159.0,591.4,138.82,mix(woodland_x),60.87,31.33,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
39.0,57.626,27.542,Jaghin,458.0,116.0,2443.22,1550.9,modrange,0.69,0.39,Qft1,High level piedmont fan and valley terrces deposits,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
40.0,57.124,27.555,Rudan,659.0,124.0,311.29,524.0,poorrange,25.07,14.07,tm,"Tectonic melange - association of ophiolitic components , pelagic limestone , radiolarian chert and shale with or without Eocene sedimentary rocks (Coloured Melange complex )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
41.0,56.338,27.72,Shoor,595.0,159.0,366.89,14781.91,poorrange,14.76,8.39,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
42.0,56.338,27.721,Shoor,574.0,159.0,434.15,14674.28,poorrange,8.72,4.98,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
43.0,56.481,27.839,Shoor,1085.0,159.0,473.7,4919.53,mix(woodland_x),29.6,16.49,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
44.0,57.556,27.833,Halil Rud,753.0,116.0,968.48,1184.24,rock,3.63,2.08,Pzkb,"Undifferentiated basic schist pelitic schist , psammitic schist , calc - silicate rocks , amphibolite , recrystalized limestone , marble and phyllite ( Bajgan Metamorphic complex and Deyader complex )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
45.0,56.431,27.919,Shoor,1532.0,159.0,1530.87,4908.59,mix(woodland_x),44.38,23.93,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
46.0,56.378,27.919,Shoor,2050.0,159.0,788.66,3813.12,mix(woodland_x),95.26,43.61,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
47.0,56.352,27.917,Shoor,2020.0,159.0,2935.72,2578.36,woodland1,23.93,13.46,Ek,"Well bedded , green tuff and tuffaceous shale ( KARAJ FM )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
48.0,56.49,27.747,Shoor,593.0,159.0,1935.82,5422.29,rock,20.2,11.42,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
49.0,56.528,27.728,Shoor,507.0,141.0,174.77,1134.36,poorrange,20.56,11.62,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
50.0,57.03,27.431,Shoor,360.0,136.0,27.08,355.24,poorrange,2.17,1.24,OMf," Rhytmically bedded sandstone and shale , with minor siltstone and mudstone ( e . g . Angohran unit)",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
51.0,57.508,27.837,Halil Rud,730.0,116.0,1075.85,2690.33,rock,60.34,31.11,Pzkb,"Undifferentiated basic schist pelitic schist , psammitic schist , calc - silicate rocks , amphibolite , recrystalized limestone , marble and phyllite ( Bajgan Metamorphic complex and Deyader complex )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
52.0,57.02,27.433,Shoor,413.0,136.0,255.25,1262.55,mix(poorrange_x),25.3,14.2,OMf," Rhytmically bedded sandstone and shale , with minor siltstone and mudstone ( e . g . Angohran unit)",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
53.0,61.792,27.575,Rakshan,1424.0,111.0,1679.22,2832.59,rock,43.9,23.7,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
54.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
55.0,51.05,29.617,Dalaki,282.0,152.0,831.69,32841.8,poorrange,8.84,5.05,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
56.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
57.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
58.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
59.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
60.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
61.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
62.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
63.0,51.05,29.626,Dalaki,271.0,152.0,1482.3,33197.88,poorrange,4.1,2.35,Plbk, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
64.0,51.579,29.248,Dalaki,1305.0,156.0,803.82,962.93,mix(lowforest_x),60.27,31.08,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),SA-C-W,"Hot and dry, with a dry period longer than the humid period"
65.0,51.578,29.248,Dalaki,1277.0,156.0,734.31,1044.7,mix(lowforest_x),44.42,23.95,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),SA-C-W,"Hot and dry, with a dry period longer than the humid period"
66.0,51.464,29.304,Dalaki,561.0,152.0,587.73,6233.02,modrange,9.81,5.6,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
67.0,51.357,29.453,Dalaki,196.0,152.0,24.14,323.96,modrange,6.54,3.74,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
68.0,51.356,29.454,Dalaki,190.0,152.0,37.62,176.73,poorrange,0.27,0.15,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
69.0,51.359,29.457,Dalaki,384.0,152.0,479.14,104.59,modrange,1.72,0.99,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
70.0,51.254,29.462,Dalaki,95.0,152.0,819.04,6793.64,agri,1.16,0.66,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
71.0,51.351,29.47,Dalaki,215.0,152.0,99.33,1501.37,masil,15.22,8.66,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
72.0,51.346,29.47,Dalaki,146.0,152.0,92.18,1809.31,masil,25.2,14.15,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
73.0,51.342,29.47,Dalaki,130.0,152.0,28.99,2055.67,masil,2.47,1.42,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
74.0,51.289,29.457,Dalaki,111.0,152.0,966.24,4208.19,agri,2.66,1.52,Qft2, Low level piedmont fan and valley teraces deposite,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
75.0,51.304,29.464,Dalaki,159.0,152.0,292.89,3882.99,poorrange,20.69,11.69,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
76.0,51.504,29.464,Dalaki,354.0,156.0,505.73,10169.43,poorrange,3.4,1.95,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
77.0,51.312,29.464,Dalaki,167.0,152.0,398.31,3390.06,poorrange,27.39,15.32,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
78.0,51.299,29.744,Dalaki,657.0,152.0,1377.12,8301.69,mix(lowforest_x),12.07,6.88,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",A-C-VW,"Warm and dry, with a dry period longer than the humid period"
79.0,51.301,29.744,Dalaki,692.0,152.0,1327.9,8108.62,mix(lowforest_x),22.8,12.84,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",A-C-VW,"Warm and dry, with a dry period longer than the humid period"
80.0,52.352,29.578,Qarabaq,1877.0,168.0,907.92,2581.37,modrange,11.19,6.38,OMr,Opemiska mafic rocks,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
81.0,52.319,29.694,Qarabaq,2083.0,168.0,749.91,5713.5,lowforest,17.67,10.02,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",SA-C-W,"Hot and dry, with a dry period longer than the humid period"
82.0,52.144,29.331,Dalaki,1282.0,168.0,9.41,2100.34,modforest,9.63,5.5,ElPE-Eh,Elsonian Pelagic-hemipelagic mudstone,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
83.0,52.146,29.333,Dalaki,1329.0,168.0,108.05,2393.61,modforest,16.56,9.4,ElPE-Eh,Elsonian Pelagic-hemipelagic mudstone,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
84.0,52.172,29.419,Dalaki,1389.0,168.0,144.15,3124.41,agri,19.74,11.16,Qft2, Low level piedmont fan and valley teraces deposite,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
85.0,51.466,29.309,Dalaki,616.0,152.0,281.09,6274.31,modrange,9.98,5.7,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
86.0,51.338,29.471,Dalaki,133.0,152.0,65.56,2387.67,masil,6.98,3.99,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-M-VW,"Warm and humid, with a humid period longer than the dry period"
87.0,52.081,29.636,Mand,2230.0,168.0,157.73,6866.02,mix(modforest_x),25.33,14.22,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",SA-C-W,"Hot and dry, with a dry period longer than the humid period"
88.0,52.137,29.665,Mand,1942.0,168.0,34.41,563.78,masil,1.38,0.79,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",SA-C-W,"Hot and dry, with a dry period longer than the humid period"
89.0,52.058,29.688,Mand,2004.0,168.0,349.75,6000.54,modrange,3.32,1.9,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",SA-C-W,"Hot and dry, with a dry period longer than the humid period"
90.0,52.003,29.853,Zohreh,2185.0,168.0,515.71,4826.31,mix(modforest_x),13.18,7.51,PlQc,Fluvial conglomerate,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
91.0,52.003,29.853,Zohreh,2185.0,168.0,515.71,4826.31,mix(modforest_x),13.18,7.51,PlQc,Fluvial conglomerate,SA-C-W,"Hot and dry, with a dry period longer than the humid period"
92.0,52.139,29.665,Mand,1941.0,168.0,43.17,395.39,masil,0.78,0.45,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",SA-C-W,"Hot and dry, with a dry period longer than the humid period"
93.0,51.437,29.57,Dalaki,627.0,152.0,1848.0,1291.65,poorrange,15.21,8.65,MuPlaj," Brown to grey , calcareous , feature - forming sandstone and low weathering , gypsum - veind , red marl and siltstone ( AGHAJARI FM . )",A-M-VW,"Warm and humid, with a humid period longer than the dry period"
94.0,51.482,29.569,Dalaki,855.0,152.0,1632.91,2598.6,poorrange,63.21,32.3,Mlgs," Anhydrite , salt , grey and red marl alternating with anhydrite , argillaceous limestone and limestone ( GACHSARAN FM . )",A-C-VW,"Warm and dry, with a dry period longer than the humid period"
95.0,54.46,28.883,Shoor,2325.0,138.0,1204.04,4655.3,modrange,66.28,33.54,TRKurl," Buff to grey , thick - bedded to massive ,  partly o'olitic limestone ( Bisetun Limestone )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
96.0,54.455,28.878,Shoor,1917.0,138.0,468.14,4467.83,modrange,39.37,21.49,TRKurl," Buff to grey , thick - bedded to massive ,  partly o'olitic limestone ( Bisetun Limestone )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
97.0,54.202,29.062,Mand,2043.0,145.0,1655.51,1461.54,mix(poorrange_x),77.55,37.79,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
98.0,54.169,29.095,Neyriz Lake,2104.0,145.0,1208.81,4281.6,mix(dryfarming_x),29.41,16.39,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
99.0,54.21,29.049,Mand,1878.0,145.0,624.05,238.81,mix(poorrange_x),29.81,16.6,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
100.0,53.054,28.7,Mand,1107.0,140.0,55.78,14103.41,poorrange,33.52,18.53,OMr,Opemiska mafic rocks,A-C-VW,"Warm and dry, with a dry period longer than the humid period"
101.0,54.204,29.047,Mand,1761.0,145.0,12.93,111.48,mix(poorrange_x),5.41,3.09,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
102.0,53.132,28.627,Mand,1020.0,140.0,688.18,3015.3,poorrange,2.42,1.39,Mlmmi, Low weathering grey marls alternating with bands of more ressitant shelly limestone ( MISHAN FM. ),A-C-VW,"Warm and dry, with a dry period longer than the humid period"
103.0,54.572,28.849,Shoor,2224.0,163.0,2185.66,651.9,modrange,46.49,24.93,Ktb,"Massive , shelly , cliff - forming partly anhydritic limestone ( TARBUR FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
104.0,54.207,29.048,Mand,1820.0,145.0,311.83,63.66,mix(poorrange_x),24.24,13.63,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
105.0,54.205,29.063,Mand,2129.0,145.0,1758.5,1636.67,mix(poorrange_x),18.0,10.2,Eja,"Grey and brown weathered , massive dolomite , low weathering thin to medium - bedded dolomite and massive , feature forming , buff dolomitic limestone ( JAHRUM FM . )",A-C-W,"Hot and dry, with a dry period longer than the humid period"
106.0,54.135,29.103,Neyriz Lake,1815.0,145.0,1532.13,4627.17,mix(dryfarming_x),8.59,4.91,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
107.0,54.119,29.092,Neyriz Lake,1882.0,145.0,424.44,2855.18,poorrange,24.4,13.71,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
108.0,54.128,29.145,Neyriz Lake,1930.0,145.0,134.56,5189.98,modrange,10.93,6.23,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
109.0,54.42,29.234,Neyriz Lake,1926.0,145.0,379.44,137.29,modrange,25.49,14.3,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
110.0,54.487,29.094,Neyriz Lake,1916.0,145.0,1373.14,1704.63,modrange,3.66,2.09,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
111.0,54.228,29.183,Neyriz Lake,1758.0,145.0,738.7,1591.21,modrange,16.87,9.57,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
112.0,54.207,29.184,Neyriz Lake,1810.0,145.0,1518.01,1752.49,modrange,23.12,13.02,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
113.0,56.233,29.383,Shoor,2143.0,122.0,142.06,169.3,mix(modrange_x),2.06,1.18,Qft2, Low level piedmont fan and valley teraces deposite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
114.0,56.284,29.565,Shoor,2726.0,123.0,952.69,3852.68,mix(lowforest_x),9.92,5.67,OMgr, Oligo - Miocene granite and granodiorite,A-K-W,"Hot and dry, with a dry period longer than the humid period"
115.0,56.297,29.553,Shoor,2684.0,123.0,69.57,2614.46,mix(lowforest_x),21.51,12.14,OMgr, Oligo - Miocene granite and granodiorite,A-C-W,"Hot and dry, with a dry period longer than the humid period"
116.0,55.861,28.25,Shoor,823.0,140.0,226.19,2763.52,poorrange,1.08,0.62,OMr,Opemiska mafic rocks,A-M-VW,"Warm and humid, with a humid period longer than the dry period"
